# Constructed from biom file
#OTU ID	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24
346655ad036fed9415b7ab5cf80af8dc	0.0	57.0	74.0	139.0	0.0	200.0	0.0	0.0	0.0	0.0	30.0	0.0
411d922953a54c87c46547ca0b28a529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1156.0	0.0	0.0	0.0
8cc7cfdd53739f02b4e2ea08a7814651	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0
92842de0a271be1642457e0c9b66c7f9	118.0	0.0	83.0	0.0	350.0	81.0	0.0	0.0	0.0	0.0	0.0	19.0
f606fe20d9200d09cd72bfca2e840c1d	0.0	50.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	109.0
ccfd235b4219e5731a698faa30ae1c04	0.0	0.0	0.0	0.0	0.0	0.0	658.0	0.0	0.0	0.0	0.0	0.0
373bd95b6dbd4e64f32eee491626701f	25.0	91.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0
d458d85a1966dc37c9f83d888e0b0a90	0.0	148.0	1118.0	64.0	527.0	139.0	1171.0	267.0	429.0	381.0	57.0	143.0
d95fe88428e31a276b736a21f1237cc6	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5b9bdd6eeec4b77709077d9f40fd3442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3999.0	0.0
079ffff0846c8a8ddc2be7b863fee9f5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	64.0	273.0	0.0	0.0
035e9bb609833c233f7b5f59bc5e5827	0.0	341.0	233.0	153.0	171.0	74.0	342.0	315.0	316.0	31.0	98.0	675.0
6a6d698d1266e0a4698add44aff47602	198.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0
9849fb54971575a32c43d769ad1a8c7a	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8b4d0b6c077564aa85921598ba1024db	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	135.0
b3dd58ebc9fd1c8bfa6b4cdfcbdc4c2b	0.0	242.0	0.0	0.0	0.0	248.0	0.0	0.0	112.0	36.0	124.0	31.0
d51280aecdf1fe789adc90aab774d5a0	145.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cb03d3f0881014ef132c768986993cea	588.0	687.0	362.0	266.0	517.0	307.0	0.0	0.0	0.0	0.0	0.0	572.0
e2088d652f89224060909c9bbff522bb	35.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
624448074e05696bcb8745e5eba5549e	46.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
847d3bba03115303fbdd6ea3a777c2b5	0.0	0.0	0.0	0.0	0.0	155.0	0.0	0.0	0.0	0.0	0.0	0.0
39946e4c74c203fddc9692b58fd93764	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66e674c009af66e3f2a1c71d69aa7e47	0.0	38.0	0.0	0.0	51.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0
298408fdd5c5eed6cb7ea2ad5ce5394a	0.0	0.0	4.0	83.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
494e529f8a064d57e791328df771562f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0
7605aea0a011826c94642204b3a4c61a	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	48.0	50.0
96b019d3c0e71b6431f9913af3a0cb25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
0610d611bd9e4fde33b46e898017b480	251.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	373.0	158.0	159.0	64.0
5dcdb0860f408f31b807926782248eae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0
6b93be6c3c88be1dc2deb868027a757d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	246.0	0.0	0.0	48.0
60e4c5bcf559d5c3d39bf1b0d200f8c3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0
5794a028646612981253d5a2a777e8be	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2682.0	0.0	0.0
7cd3e27f5d116b26066c1532a3c9d18b	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0
a4267deb20dbc13895bb09981800962f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0
1436e65844663cbab4061d5928a26eca	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b26fa333aee72a6dae49e29e154e4864	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
04bda452da718a92bdef6431c5ffef1a	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0
76b5a20d6c48287de2f7b1ae4ddecc09	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
988e94475d0a347e5c17a7ec13bc8faa	26.0	0.0	2486.0	321.0	82.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0
af89e3b73c07abce4d45ca46f4dcbcfe	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
f78f482268f0b619e2f8098d53d666d9	0.0	0.0	0.0	202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59edbec43dfbe812bf7a0569c33ee216	0.0	27.0	0.0	32.0	30.0	79.0	95.0	0.0	0.0	0.0	0.0	33.0
7d26812cb3949441b33f619bc36317b6	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
358fdd34d7b83ef754a6d19eeb3dc3d6	0.0	49.0	57.0	31.0	40.0	0.0	0.0	0.0	0.0	0.0	25.0	24.0
8b0d1d31dcf7a93abb4445b728a51d51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0
